sld,tld,status,message
"the",".hidns.co","❌","undefined"
"and",".hidns.co","❌","undefined"
"that",".hidns.co","❌","undefined"
"are",".hidns.co","❌","undefined"
"for",".hidns.co","❌","undefined"
"you",".hidns.co","❌","undefined"
"not",".hidns.co","❌","undefined"
"but",".hidns.co","❌","undefined"
"his",".hidns.co","❌","undefined"
"her",".hidns.co","❌","undefined"
"was",".hidns.co","❌","undefined"
"they",".hidns.co","❌","undefined"
"with",".hidns.co","❌","undefined"
"all",".hidns.co","❌","undefined"
"she",".hidns.co","❌","undefined"
"who",".hidns.co","❌","undefined"
"one",".hidns.co","❌","undefined"
"had",".hidns.co","❌","undefined"
"has",".hidns.co","❌","undefined"
"out",".hidns.co","❌","undefined"
"him",".hidns.co","❌","undefined"
"when",".hidns.co","❌","undefined"
"can",".hidns.co","❌","undefined"
"two",".hidns.co","❌","undefined"
"more",".hidns.co","❌","undefined"
"will",".hidns.co","❌","undefined"
"would",".hidns.co","❌","undefined"
"their",".hidns.co","❌","undefined"
"what",".hidns.co","❌","undefined"
"about",".hidns.co","❌","undefined"
"which",".hidns.co","❌","undefined"
"this",".hidns.co","❌","undefined"
"from",".hidns.co","❌","undefined"
"were",".hidns.co","❌","undefined"
"have",".hidns.co","❌","undefined"
"been",".hidns.co","❌","undefined"
"some",".hidns.co","❌","undefined"
"there",".hidns.co","❌","undefined"
"such",".hidns.co","❌","undefined"
"want",".hidns.co","❌","undefined"
"than",".hidns.co","❌","undefined"
"them",".hidns.co","❌","undefined"
"said",".hidns.co","❌","undefined"
"know",".hidns.co","❌","undefined"
"then",".hidns.co","❌","undefined"
"into",".hidns.co","❌","undefined"
"time",".hidns.co","❌","undefined"
"like",".hidns.co","❌","undefined"
"just",".hidns.co","❌","undefined"
"work",".hidns.co","❌","undefined"
"make",".hidns.co","❌","undefined"
"very",".hidns.co","❌","undefined"
"year",".hidns.co","❌","undefined"
"your",".hidns.co","❌","undefined"
"good",".hidns.co","❌","undefined"
"many",".hidns.co","❌","undefined"
"much",".hidns.co","❌","undefined"
"need",".hidns.co","❌","undefined"
"well",".hidns.co","❌","undefined"
"life",".hidns.co","❌","undefined"
"down",".hidns.co","❌","undefined"
"come",".hidns.co","❌","undefined"
"over",".hidns.co","❌","undefined"
"think",".hidns.co","❌","undefined"
"both",".hidns.co","❌","undefined"
"even",".hidns.co","❌","undefined"
"these",".hidns.co","❌","undefined"
"only",".hidns.co","❌","undefined"
"most",".hidns.co","❌","undefined"
"give",".hidns.co","❌","undefined"
"each",".hidns.co","❌","undefined"
"look",".hidns.co","❌","undefined"
"first",".hidns.co","✅","true"
"find",".hidns.co","❌","undefined"
"those",".hidns.co","❌","undefined"
"tell",".hidns.co","❌","undefined"
"same",".hidns.co","❌","undefined"
"mean",".hidns.co","❌","undefined"
"feel",".hidns.co","❌","undefined"
"seem",".hidns.co","❌","undefined"
"help",".hidns.co","❌","undefined"
"leave",".hidns.co","❌","undefined"
"call",".hidns.co","❌","undefined"
"move",".hidns.co","❌","undefined"
"long",".hidns.co","❌","undefined"
"used",".hidns.co","❌","undefined"
"since",".hidns.co","❌","undefined"
"while",".hidns.co","❌","undefined"
"great",".hidns.co","❌","undefined"
"right",".hidns.co","❌","undefined"
"three",".hidns.co","❌","undefined"
"take",".hidns.co","❌","undefined"
"where",".hidns.co","❌","undefined"
"part",".hidns.co","❌","undefined"
"last",".hidns.co","❌","undefined"
"back",".hidns.co","❌","undefined"
"went",".hidns.co","❌","undefined"
"away",".hidns.co","❌","undefined"
"days",".hidns.co","❌","undefined"
"made",".hidns.co","❌","undefined"
"done",".hidns.co","❌","undefined"
"000",".hidns.co","❌","undefined"
"111",".hidns.co","❌","undefined"
"222",".hidns.co","❌","undefined"
"333",".hidns.co","❌","undefined"
"444",".hidns.co","❌","undefined"
"555",".hidns.co","❌","undefined"
"666",".hidns.co","❌","undefined"
"777",".hidns.co","❌","undefined"
"888",".hidns.co","❌","undefined"
"999",".hidns.co","❌","undefined"
"aaa",".hidns.co","❌","undefined"
"bbb",".hidns.co","❌","undefined"
"ccc",".hidns.co","❌","undefined"
"ddd",".hidns.co","❌","undefined"
"eee",".hidns.co","❌","undefined"
"fff",".hidns.co","❌","undefined"
"ggg",".hidns.co","❌","undefined"
"hhh",".hidns.co","❌","undefined"
"iii",".hidns.co","❌","undefined"
"jjj",".hidns.co","❌","undefined"
"kkk",".hidns.co","❌","undefined"
"lll",".hidns.co","❌","undefined"
"mmm",".hidns.co","❌","undefined"
"nnn",".hidns.co","❌","undefined"
"ooo",".hidns.co","❌","undefined"
"ppp",".hidns.co","❌","undefined"
"qqq",".hidns.co","❌","undefined"
"rrr",".hidns.co","❌","undefined"
"sss",".hidns.co","❌","undefined"
"ttt",".hidns.co","❌","undefined"
"uuu",".hidns.co","❌","undefined"
"vvv",".hidns.co","❌","undefined"
"www",".hidns.co","❌","undefined"
"xxx",".hidns.co","❌","undefined"
"yyy",".hidns.co","❌","undefined"
"zzz",".hidns.co","❌","undefined"
"the",".hidns.vip","❌","undefined"
"and",".hidns.vip","❌","undefined"
"that",".hidns.vip","❌","undefined"
"are",".hidns.vip","❌","undefined"
"for",".hidns.vip","❌","undefined"
"you",".hidns.vip","❌","undefined"
"not",".hidns.vip","❌","undefined"
"but",".hidns.vip","❌","undefined"
"his",".hidns.vip","❌","undefined"
"her",".hidns.vip","❌","undefined"
"was",".hidns.vip","❌","undefined"
"they",".hidns.vip","❌","undefined"
"with",".hidns.vip","❌","undefined"
"all",".hidns.vip","❌","undefined"
"she",".hidns.vip","❌","undefined"
"who",".hidns.vip","❌","undefined"
"one",".hidns.vip","❌","undefined"
"had",".hidns.vip","❌","undefined"
"has",".hidns.vip","❌","undefined"
"out",".hidns.vip","❌","undefined"
"him",".hidns.vip","❌","undefined"
"when",".hidns.vip","❌","undefined"
"can",".hidns.vip","❌","undefined"
"two",".hidns.vip","❌","undefined"
"more",".hidns.vip","❌","undefined"
"will",".hidns.vip","❌","undefined"
"would",".hidns.vip","❌","undefined"
"their",".hidns.vip","❌","undefined"
"what",".hidns.vip","❌","undefined"
"about",".hidns.vip","❌","undefined"
"which",".hidns.vip","❌","undefined"
"this",".hidns.vip","❌","undefined"
"from",".hidns.vip","❌","undefined"
"were",".hidns.vip","❌","undefined"
"have",".hidns.vip","❌","undefined"
"been",".hidns.vip","❌","undefined"
"some",".hidns.vip","❌","undefined"
"there",".hidns.vip","❌","undefined"
"such",".hidns.vip","❌","undefined"
"want",".hidns.vip","❌","undefined"
"than",".hidns.vip","❌","undefined"
"them",".hidns.vip","❌","undefined"
"said",".hidns.vip","❌","undefined"
"know",".hidns.vip","❌","undefined"
"then",".hidns.vip","❌","undefined"
"into",".hidns.vip","❌","undefined"
"time",".hidns.vip","❌","undefined"
"like",".hidns.vip","❌","undefined"
"just",".hidns.vip","❌","undefined"
"work",".hidns.vip","❌","undefined"
"make",".hidns.vip","❌","undefined"
"very",".hidns.vip","❌","undefined"
"year",".hidns.vip","❌","undefined"
"your",".hidns.vip","❌","undefined"
"good",".hidns.vip","❌","undefined"
"many",".hidns.vip","❌","undefined"
